id,state_name,state_id,country_id
1,Andaman and Nicobar Islands,1,101
2,Andhra Pradesh,2,101
3,Arunachal Pradesh,3,101
4,Assam,4,101
5,Bihar,5,101
6,Chandigarh,6,101
7,Chhattisgarh,7,101
8,Dadra and Nagar Haveli,8,101
9,Daman and Diu,9,101
10,Delhi,10,101
11,Goa,11,101
12,Gujarat,12,101
13,Haryana,13,101
14,Himachal Pradesh,14,101
15,Jammu and Kashmir,15,101
16,Jharkhand,16,101
17,Karnataka,17,101
19,Kerala,19,101
20,Lakshadweep,20,101
21,Madhya Pradesh,21,101
22,Maharashtra,22,101
23,Manipur,23,101
24,Meghalaya,24,101
25,Mizoram,25,101
26,Nagaland,26,101
29,Odisha,29,101
30,Paschim Medinipur,30,101
31,Pondicherry,31,101
32,Punjab,32,101
33,Rajasthan,33,101
34,Sikkim,34,101
35,Tamil Nadu,35,101
36,Telangana,36,101
37,Tripura,37,101
38,Uttar Pradesh,38,101
39,Uttarakhand,39,101
41,West Bengal,41,101
42,Badakhshan,42,1
43,Badgis,43,1
44,Baglan,44,1
45,Balkh,45,1
46,Bamiyan,46,1
47,Farah,47,1
48,Faryab,48,1
49,Gawr,49,1
50,Gazni,50,1
51,Herat,51,1
52,Hilmand,52,1
53,Jawzjan,53,1
54,Kabul,54,1
55,Kapisa,55,1
56,Khawst,56,1
57,Kunar,57,1
58,Lagman,58,1
59,Lawghar,59,1
60,Nangarhar,60,1
61,Nimruz,61,1
62,Nuristan,62,1
63,Paktika,63,1
64,Paktiya,64,1
65,Parwan,65,1
66,Qandahar,66,1
67,Qunduz,67,1
68,Samangan,68,1
69,Sar-e Pul,69,1
70,Takhar,70,1
71,Uruzgan,71,1
72,Wardag,72,1
73,Zabul,73,1
74,Berat,74,2
75,Bulqize,75,2
76,Delvine,76,2
77,Devoll,77,2
78,Dibre,78,2
79,Durres,79,2
80,Elbasan,80,2
81,Fier,81,2
82,Gjirokaster,82,2
83,Gramsh,83,2
84,Has,84,2
85,Kavaje,85,2
86,Kolonje,86,2
87,Korce,87,2
88,Kruje,88,2
89,Kucove,89,2
90,Kukes,90,2
91,Kurbin,91,2
92,Lezhe,92,2
93,Librazhd,93,2
94,Lushnje,94,2
95,Mallakaster,95,2
96,Malsi e Madhe,96,2
97,Mat,97,2
98,Mirdite,98,2
99,Peqin,99,2
100,Permet,100,2
101,Pogradec,101,2
102,Puke,102,2
103,Sarande,103,2
104,Shkoder,104,2
105,Skrapar,105,2
106,Tepelene,106,2
107,Tirane,107,2
108,Tropoje,108,2
109,Vlore,109,2
110,'Ayn Daflah,110,3
111,'Ayn Tamushanat,111,3
112,Adrar,112,3
113,Algiers,113,3
114,Annabah,114,3
115,Bashshar,115,3
116,Batnah,116,3
117,Bijayah,117,3
118,Biskrah,118,3
119,Blidah,119,3
120,Buirah,120,3
121,Bumardas,121,3
122,Burj Bu Arririj,122,3
123,Ghalizan,123,3
124,Ghardayah,124,3
125,Ilizi,125,3
126,Jijili,126,3
127,Jilfah,127,3
128,Khanshalah,128,3
129,Masilah,129,3
130,Midyah,130,3
131,Milah,131,3
132,Muaskar,132,3
133,Mustaghanam,133,3
134,Naama,134,3
135,Oran,135,3
136,Ouargla,136,3
137,Qalmah,137,3
138,Qustantinah,138,3
139,Sakikdah,139,3
140,Satif,140,3
141,Sayda',141,3
142,Sidi ban-al-'Abbas,142,3
143,Suq Ahras,143,3
144,Tamanghasat,144,3
145,Tibazah,145,3
146,Tibissah,146,3
147,Tilimsan,147,3
148,Tinduf,148,3
149,Tisamsilt,149,3
150,Tiyarat,150,3
151,Tizi Wazu,151,3
152,Umm-al-Bawaghi,152,3
153,Wahran,153,3
154,Warqla,154,3
155,Wilaya d Alger,155,3
156,Wilaya de Bejaia,156,3
157,Wilaya de Constantine,157,3
158,al-Aghwat,158,3
159,al-Bayadh,159,3
160,al-Jaza'ir,160,3
161,al-Wad,161,3
162,ash-Shalif,162,3
163,at-Tarif,163,3
164,Eastern,164,4
165,Manu'a,165,4
166,Swains Island,166,4
167,Western,167,4
168,Andorra la Vella,168,5
169,Canillo,169,5
170,Encamp,170,5
171,La Massana,171,5
172,Les Escaldes,172,5
173,Ordino,173,5
174,Sant Julia de Loria,174,5
175,Bengo,175,6
176,Benguela,176,6
177,Bie,177,6
178,Cabinda,178,6
179,Cunene,179,6
180,Huambo,180,6
181,Huila,181,6
182,Kuando-Kubango,182,6
183,Kwanza Norte,183,6
184,Kwanza Sul,184,6
185,Luanda,185,6
186,Lunda Norte,186,6
187,Lunda Sul,187,6
188,Malanje,188,6
189,Moxico,189,6
190,Namibe,190,6
191,Uige,191,6
192,Zaire,192,6
193,Other Provinces,193,7
194,Sector claimed by Argentina/Ch,194,8
195,Sector claimed by Argentina/UK,195,8
196,Sector claimed by Australia,196,8
197,Sector claimed by France,197,8
198,Sector claimed by New Zealand,198,8
199,Sector claimed by Norway,199,8
200,Unclaimed Sector,200,8
201,Barbuda,201,9
202,Saint George,202,9
203,Saint John,203,9
204,Saint Mary,204,9
205,Saint Paul,205,9
206,Saint Peter,206,9
207,Saint Philip,207,9
208,Buenos Aires,208,10
209,Catamarca,209,10
210,Chaco,210,10
211,Chubut,211,10
212,Cordoba,212,10
213,Corrientes,213,10
214,Distrito Federal,214,10
215,Entre Rios,215,10
216,Formosa,216,10
217,Jujuy,217,10
218,La Pampa,218,10
219,La Rioja,219,10
220,Mendoza,220,10
221,Misiones,221,10
222,Neuquen,222,10
223,Rio Negro,223,10
224,Salta,224,10
225,San Juan,225,10
226,San Luis,226,10
227,Santa Cruz,227,10
228,Santa Fe,228,10
229,Santiago del Estero,229,10
230,Tierra del Fuego,230,10
231,Tucuman,231,10
232,Aragatsotn,232,11
233,Ararat,233,11
234,Armavir,234,11
235,Gegharkunik,235,11
236,Kotaik,236,11
237,Lori,237,11
238,Shirak,238,11
239,Stepanakert,239,11
240,Syunik,240,11
241,Tavush,241,11
242,Vayots Dzor,242,11
243,Yerevan,243,11
244,Aruba,244,12
245,Auckland,245,13
246,Australian Capital Territory,246,13
247,Balgowlah,247,13
248,Balmain,248,13
249,Bankstown,249,13
250,Baulkham Hills,250,13
251,Bonnet Bay,251,13
252,Camberwell,252,13
253,Carole Park,253,13
254,Castle Hill,254,13
255,Caulfield,255,13
256,Chatswood,256,13
257,Cheltenham,257,13
258,Cherrybrook,258,13
259,Clayton,259,13
260,Collingwood,260,13
261,Frenchs Forest,261,13
262,Hawthorn,262,13
263,Jannnali,263,13
264,Knoxfield,264,13
265,Melbourne,265,13
266,New South Wales,266,13
267,Northern Territory,267,13
268,Perth,268,13
269,Queensland,269,13
270,South Australia,270,13
271,Tasmania,271,13
272,Templestowe,272,13
273,Victoria,273,13
274,Werribee south,274,13
275,Western Australia,275,13
276,Wheeler,276,13
277,Bundesland Salzburg,277,14
278,Bundesland Steiermark,278,14
279,Bundesland Tirol,279,14
280,Burgenland,280,14
281,Carinthia,281,14
282,Karnten,282,14
283,Liezen,283,14
284,Lower Austria,284,14
285,Niederosterreich,285,14
286,Oberosterreich,286,14
287,Salzburg,287,14
288,Schleswig-Holstein,288,14
289,Steiermark,289,14
290,Styria,290,14
291,Tirol,291,14
292,Upper Austria,292,14
293,Vorarlberg,293,14
294,Wien,294,14
295,Abseron,295,15
296,Baki Sahari,296,15
297,Ganca,297,15
298,Ganja,298,15
299,Kalbacar,299,15
300,Lankaran,300,15
301,Mil-Qarabax,301,15
302,Mugan-Salyan,302,15
303,Nagorni-Qarabax,303,15
304,Naxcivan,304,15
305,Priaraks,305,15
306,Qazax,306,15
307,Saki,307,15
308,Sirvan,308,15
309,Xacmaz,309,15
310,Abaco,310,16
311,Acklins Island,311,16
312,Andros,312,16
313,Berry Islands,313,16
314,Biminis,314,16
315,Cat Island,315,16
316,Crooked Island,316,16
317,Eleuthera,317,16
318,Exuma and Cays,318,16
319,Grand Bahama,319,16
320,Inagua Islands,320,16
321,Long Island,321,16
322,Mayaguana,322,16
323,New Providence,323,16
324,Ragged Island,324,16
325,Rum Cay,325,16
326,San Salvador,326,16
327,'Isa,327,17
328,Badiyah,328,17
329,Hidd,329,17
